,Currency,Exchange,day,month,year
135,USD,1.0,28,1,2015
136,CAD,1.2421,28,1,2015
137,AUD,1.2548,28,1,2015
138,EUR,0.8815,28,1,2015
139,GBP,0.6581,28,1,2015
140,USD,1.0,29,1,2015
141,CAD,1.2531,29,1,2015
142,AUD,1.2846,29,1,2015
143,EUR,0.8838,29,1,2015
144,GBP,0.6608,29,1,2015
145,USD,1.0,30,1,2015
146,CAD,1.267,30,1,2015
147,AUD,1.2857,30,1,2015
148,EUR,0.8846,30,1,2015
149,GBP,0.6644,30,1,2015
150,USD,1.0,31,1,2015
151,CAD,1.267,31,1,2015
152,AUD,1.2857,31,1,2015
153,EUR,0.8846,31,1,2015
154,GBP,0.6644,31,1,2015
155,USD,1.0,1,2,2015
156,CAD,1.267,1,2,2015
157,AUD,1.2857,1,2,2015
158,EUR,0.8846,1,2,2015
159,GBP,0.6644,1,2,2015
160,USD,1.0,2,2,2015
161,CAD,1.2672,2,2,2015
162,AUD,1.2841,2,2,2015
163,EUR,0.8842,2,2,2015
164,GBP,0.6654,2,2,2015
165,USD,1.0,3,2,2015
166,CAD,1.2584,3,2,2015
167,AUD,1.3009,3,2,2015
168,EUR,0.879,3,2,2015
169,GBP,0.6628,3,2,2015
170,USD,1.0,4,2,2015
171,CAD,1.2452,4,2,2015
172,AUD,1.2862,4,2,2015
173,EUR,0.8737,4,2,2015
174,GBP,0.6566,4,2,2015
175,USD,1.0,5,2,2015
176,CAD,1.2524,5,2,2015
177,AUD,1.281,5,2,2015
178,EUR,0.8764,5,2,2015
179,GBP,0.6557,5,2,2015
180,USD,1.0,6,2,2015
181,CAD,1.2445,6,2,2015
182,AUD,1.273,6,2,2015
183,EUR,0.8736,6,2,2015
184,GBP,0.6528,6,2,2015
185,USD,1.0,7,2,2015
186,CAD,1.2445,7,2,2015
187,AUD,1.273,7,2,2015
188,EUR,0.8736,7,2,2015
189,GBP,0.6528,7,2,2015
190,USD,1.0,8,2,2015
191,CAD,1.2445,8,2,2015
192,AUD,1.273,8,2,2015
193,EUR,0.8736,8,2,2015
194,GBP,0.6528,8,2,2015
195,USD,1.0,9,2,2015
196,CAD,1.25,9,2,2015
197,AUD,1.2798,9,2,2015
198,EUR,0.8869,9,2,2015
199,GBP,0.6576,9,2,2015
200,USD,1.0,10,2,2015
201,CAD,1.2471,10,2,2015
202,AUD,1.2855,10,2,2015
203,EUR,0.8852,10,2,2015
204,GBP,0.6568,10,2,2015
205,USD,1.0,11,2,2015
206,CAD,1.2611,11,2,2015
207,AUD,1.291,11,2,2015
208,EUR,0.8839,11,2,2015
209,GBP,0.6537,11,2,2015
210,USD,1.0,12,2,2015
211,CAD,1.256,12,2,2015
212,AUD,1.3031,12,2,2015
213,EUR,0.8828,12,2,2015
214,GBP,0.6511,12,2,2015
215,USD,1.0,13,2,2015
216,CAD,1.2508,13,2,2015
217,AUD,1.2907,13,2,2015
218,EUR,0.8787,13,2,2015
219,GBP,0.6503,13,2,2015
220,USD,1.0,14,2,2015
221,CAD,1.2508,14,2,2015
222,AUD,1.2907,14,2,2015
223,EUR,0.8787,14,2,2015
224,GBP,0.6503,14,2,2015
225,USD,1.0,15,2,2015
226,CAD,1.2508,15,2,2015
227,AUD,1.2907,15,2,2015
228,EUR,0.8787,15,2,2015
229,GBP,0.6503,15,2,2015
230,USD,1.0,16,2,2015
231,CAD,1.2453,16,2,2015
232,AUD,1.2859,16,2,2015
233,EUR,0.8766,16,2,2015
234,GBP,0.6505,16,2,2015
235,USD,1.0,17,2,2015
236,CAD,1.2374,17,2,2015
237,AUD,1.2784,17,2,2015
238,EUR,0.876,17,2,2015
239,GBP,0.6512,17,2,2015
240,USD,1.0,18,2,2015
241,CAD,1.245,18,2,2015
242,AUD,1.2837,18,2,2015
243,EUR,0.8794,18,2,2015
244,GBP,0.6483,18,2,2015
245,USD,1.0,19,2,2015
246,CAD,1.252,19,2,2015
247,AUD,1.285,19,2,2015
248,EUR,0.8782,19,2,2015
249,GBP,0.648,19,2,2015
250,USD,1.0,20,2,2015
251,CAD,1.2456,20,2,2015
252,AUD,1.2745,20,2,2015
253,EUR,0.8851,20,2,2015
254,GBP,0.6504,20,2,2015
255,USD,1.0,21,2,2015
256,CAD,1.2456,21,2,2015
257,AUD,1.2745,21,2,2015
258,EUR,0.8851,21,2,2015
259,GBP,0.6504,21,2,2015
260,USD,1.0,22,2,2015
261,CAD,1.2456,22,2,2015
262,AUD,1.2745,22,2,2015
263,EUR,0.8851,22,2,2015
264,GBP,0.6504,22,2,2015
265,USD,1.0,23,2,2015
266,CAD,1.2618,23,2,2015
267,AUD,1.2843,23,2,2015
268,EUR,0.8851,23,2,2015
269,GBP,0.6507,23,2,2015
270,USD,1.0,24,2,2015
271,CAD,1.2643,24,2,2015
272,AUD,1.2896,24,2,2015
273,EUR,0.8828,24,2,2015
274,GBP,0.6483,24,2,2015
275,USD,1.0,25,2,2015
276,CAD,1.2441,25,2,2015
277,AUD,1.2681,25,2,2015
278,EUR,0.8814,25,2,2015
279,GBP,0.6459,25,2,2015
280,USD,1.0,26,2,2015
281,CAD,1.247,26,2,2015
282,AUD,1.2686,26,2,2015
283,EUR,0.8836,26,2,2015
284,GBP,0.6451,26,2,2015
285,USD,1.0,27,2,2015
286,CAD,1.2451,27,2,2015
287,AUD,1.2774,27,2,2015
288,EUR,0.8897,27,2,2015
289,GBP,0.6475,27,2,2015
290,USD,1.0,28,2,2015
291,CAD,1.2451,28,2,2015
292,AUD,1.2774,28,2,2015
293,EUR,0.8897,28,2,2015
294,GBP,0.6475,28,2,2015
295,USD,1.0,1,3,2015
296,CAD,1.2451,1,3,2015
297,AUD,1.2774,1,3,2015
298,EUR,0.8897,1,3,2015
299,GBP,0.6475,1,3,2015
300,USD,1.0,2,3,2015
301,CAD,1.2492,2,3,2015
302,AUD,1.2856,2,3,2015
303,EUR,0.8907,2,3,2015
304,GBP,0.6497,2,3,2015
305,USD,1.0,3,3,2015
306,CAD,1.2519,3,3,2015
307,AUD,1.2794,3,3,2015
308,EUR,0.8954,3,3,2015
309,GBP,0.6515,3,3,2015
310,USD,1.0,4,3,2015
311,CAD,1.2515,4,3,2015
312,AUD,1.2757,4,3,2015
313,EUR,0.899,4,3,2015
314,GBP,0.6526,4,3,2015
315,USD,1.0,5,3,2015
316,CAD,1.244,5,3,2015
317,AUD,1.2833,5,3,2015
318,EUR,0.9034,5,3,2015
319,GBP,0.6551,5,3,2015
320,USD,1.0,6,3,2015
321,CAD,1.2466,6,3,2015
322,AUD,1.2761,6,3,2015
323,EUR,0.9122,6,3,2015
324,GBP,0.6586,6,3,2015
325,USD,1.0,7,3,2015
326,CAD,1.2466,7,3,2015
327,AUD,1.2761,7,3,2015
328,EUR,0.9122,7,3,2015
329,GBP,0.6586,7,3,2015
330,USD,1.0,8,3,2015
331,CAD,1.2466,8,3,2015
332,AUD,1.2761,8,3,2015
333,EUR,0.9122,8,3,2015
334,GBP,0.6586,8,3,2015
335,USD,1.0,9,3,2015
336,CAD,1.2591,9,3,2015
337,AUD,1.2931,9,3,2015
338,EUR,0.9208,9,3,2015
339,GBP,0.6617,9,3,2015
340,USD,1.0,10,3,2015
341,CAD,1.2634,10,3,2015
342,AUD,1.3069,10,3,2015
343,EUR,0.9313,10,3,2015
344,GBP,0.6638,10,3,2015
345,USD,1.0,11,3,2015
346,CAD,1.2698,11,3,2015
347,AUD,1.314,11,3,2015
348,EUR,0.9454,11,3,2015
349,GBP,0.6651,11,3,2015
350,USD,1.0,12,3,2015
351,CAD,1.2656,12,3,2015
352,AUD,1.2976,12,3,2015
353,EUR,0.9422,12,3,2015
354,GBP,0.6681,12,3,2015
355,USD,1.0,13,3,2015
356,CAD,1.2734,13,3,2015
357,AUD,1.3053,13,3,2015
358,EUR,0.9459,13,3,2015
359,GBP,0.6766,13,3,2015
360,USD,1.0,14,3,2015
361,CAD,1.2734,14,3,2015
362,AUD,1.3053,14,3,2015
363,EUR,0.9459,14,3,2015
364,GBP,0.6766,14,3,2015
365,USD,1.0,15,3,2015
366,CAD,1.2734,15,3,2015
367,AUD,1.3053,15,3,2015
368,EUR,0.9459,15,3,2015
369,GBP,0.6766,15,3,2015
370,USD,1.0,16,3,2015
371,CAD,1.2781,16,3,2015
372,AUD,1.3069,16,3,2015
373,EUR,0.9472,16,3,2015
374,GBP,0.6755,16,3,2015
375,USD,1.0,17,3,2015
376,CAD,1.2774,17,3,2015
377,AUD,1.3083,17,3,2015
378,EUR,0.9403,17,3,2015
379,GBP,0.677,17,3,2015
380,USD,1.0,18,3,2015
381,CAD,1.2824,18,3,2015
382,AUD,1.3124,18,3,2015
383,EUR,0.9441,18,3,2015
384,GBP,0.6826,18,3,2015
385,USD,1.0,19,3,2015
386,CAD,1.2717,19,3,2015
387,AUD,1.308,19,3,2015
388,EUR,0.9366,19,3,2015
389,GBP,0.6728,19,3,2015
390,USD,1.0,20,3,2015
391,CAD,1.2672,20,3,2015
392,AUD,1.2981,20,3,2015
393,EUR,0.928,20,3,2015
394,GBP,0.6733,20,3,2015
395,USD,1.0,21,3,2015
396,CAD,1.2672,21,3,2015
397,AUD,1.2981,21,3,2015
398,EUR,0.928,21,3,2015
399,GBP,0.6733,21,3,2015
400,USD,1.0,22,3,2015
401,CAD,1.2672,22,3,2015
402,AUD,1.2981,22,3,2015
403,EUR,0.928,22,3,2015
404,GBP,0.6733,22,3,2015
405,USD,1.0,23,3,2015
406,CAD,1.2525,23,3,2015
407,AUD,1.2773,23,3,2015
408,EUR,0.9164,23,3,2015
409,GBP,0.6706,23,3,2015
410,USD,1.0,24,3,2015
411,CAD,1.2465,24,3,2015
412,AUD,1.2642,24,3,2015
413,EUR,0.9132,24,3,2015
414,GBP,0.6707,24,3,2015
415,USD,1.0,25,3,2015
416,CAD,1.2482,25,3,2015
417,AUD,1.2676,25,3,2015
418,EUR,0.9103,25,3,2015
419,GBP,0.6705,25,3,2015
420,USD,1.0,26,3,2015
421,CAD,1.2442,26,3,2015
422,AUD,1.2749,26,3,2015
423,EUR,0.9113,26,3,2015
424,GBP,0.6717,26,3,2015
425,USD,1.0,27,3,2015
426,CAD,1.2509,27,3,2015
427,AUD,1.2841,27,3,2015
428,EUR,0.9211,27,3,2015
429,GBP,0.6723,27,3,2015
430,USD,1.0,28,3,2015
431,CAD,1.2509,28,3,2015
432,AUD,1.2841,28,3,2015
433,EUR,0.9211,28,3,2015
434,GBP,0.6723,28,3,2015
435,USD,1.0,29,3,2015
436,CAD,1.2509,29,3,2015
437,AUD,1.2841,29,3,2015
438,EUR,0.9211,29,3,2015
439,GBP,0.6723,29,3,2015
440,USD,1.0,30,3,2015
441,CAD,1.2641,30,3,2015
442,AUD,1.3055,30,3,2015
443,EUR,0.9221,30,3,2015
444,GBP,0.6757,30,3,2015
445,USD,1.0,31,3,2015
446,CAD,1.2769,31,3,2015
447,AUD,1.3155,31,3,2015
448,EUR,0.9295,31,3,2015
449,GBP,0.676,31,3,2015
450,USD,1.0,1,4,2015
451,CAD,1.2675,1,4,2015
452,AUD,1.3159,1,4,2015
453,EUR,0.9298,1,4,2015
454,GBP,0.6774,1,4,2015
455,USD,1.0,2,4,2015
456,CAD,1.2644,2,4,2015
457,AUD,1.3244,2,4,2015
458,EUR,0.9234,2,4,2015
459,GBP,0.6755,2,4,2015
460,USD,1.0,3,4,2015
461,CAD,1.2644,3,4,2015
462,AUD,1.3244,3,4,2015
463,EUR,0.9234,3,4,2015
464,GBP,0.6755,3,4,2015
465,USD,1.0,4,4,2015
466,CAD,1.2644,4,4,2015
467,AUD,1.3244,4,4,2015
468,EUR,0.9234,4,4,2015
469,GBP,0.6755,4,4,2015
470,USD,1.0,5,4,2015
471,CAD,1.2644,5,4,2015
472,AUD,1.3244,5,4,2015
473,EUR,0.9234,5,4,2015
474,GBP,0.6755,5,4,2015
475,USD,1.0,6,4,2015
476,CAD,1.2644,6,4,2015
477,AUD,1.3244,6,4,2015
478,EUR,0.9234,6,4,2015
479,GBP,0.6755,6,4,2015
480,USD,1.0,7,4,2015
481,CAD,1.2504,7,4,2015
482,AUD,1.3084,7,4,2015
483,EUR,0.9219,7,4,2015
484,GBP,0.6717,7,4,2015
485,USD,1.0,8,4,2015
486,CAD,1.2417,8,4,2015
487,AUD,1.2961,8,4,2015
488,EUR,0.9206,8,4,2015
489,GBP,0.6688,8,4,2015
490,USD,1.0,9,4,2015
491,CAD,1.2524,9,4,2015
492,AUD,1.2949,9,4,2015
493,EUR,0.9282,9,4,2015
494,GBP,0.6746,9,4,2015
495,USD,1.0,10,4,2015
496,CAD,1.2664,10,4,2015
497,AUD,1.3079,10,4,2015
498,EUR,0.9461,10,4,2015
499,GBP,0.6853,10,4,2015
500,USD,1.0,11,4,2015
501,CAD,1.2664,11,4,2015
502,AUD,1.3079,11,4,2015
503,EUR,0.9461,11,4,2015
504,GBP,0.6853,11,4,2015
505,USD,1.0,12,4,2015
506,CAD,1.2664,12,4,2015
507,AUD,1.3079,12,4,2015
508,EUR,0.9461,12,4,2015
509,GBP,0.6853,12,4,2015
510,USD,1.0,13,4,2015
511,CAD,1.2627,13,4,2015
512,AUD,1.3197,13,4,2015
513,EUR,0.9477,13,4,2015
514,GBP,0.6838,13,4,2015
515,USD,1.0,14,4,2015
516,CAD,1.2582,14,4,2015
517,AUD,1.3192,14,4,2015
518,EUR,0.9466,14,4,2015
519,GBP,0.6832,14,4,2015
520,USD,1.0,15,4,2015
521,CAD,1.255,15,4,2015
522,AUD,1.3182,15,4,2015
523,EUR,0.9453,15,4,2015
524,GBP,0.6776,15,4,2015
525,USD,1.0,16,4,2015
526,CAD,1.2305,16,4,2015
527,AUD,1.2875,16,4,2015
528,EUR,0.9336,16,4,2015
529,GBP,0.6712,16,4,2015
530,USD,1.0,17,4,2015
531,CAD,1.2191,17,4,2015
532,AUD,1.28,17,4,2015
533,EUR,0.9247,17,4,2015
534,GBP,0.6657,17,4,2015
535,USD,1.0,18,4,2015
536,CAD,1.2191,18,4,2015
537,AUD,1.28,18,4,2015
538,EUR,0.9247,18,4,2015
539,GBP,0.6657,18,4,2015
540,USD,1.0,19,4,2015
541,CAD,1.2191,19,4,2015
542,AUD,1.28,19,4,2015
543,EUR,0.9247,19,4,2015
544,GBP,0.6657,19,4,2015
545,USD,1.0,20,4,2015
546,CAD,1.2252,20,4,2015
547,AUD,1.2891,20,4,2015
548,EUR,0.9326,20,4,2015
549,GBP,0.671,20,4,2015
550,USD,1.0,21,4,2015
551,CAD,1.2229,21,4,2015
552,AUD,1.2917,21,4,2015
553,EUR,0.9346,21,4,2015
554,GBP,0.6717,21,4,2015
555,USD,1.0,22,4,2015
556,CAD,1.2242,22,4,2015
557,AUD,1.2842,22,4,2015
558,EUR,0.9308,22,4,2015
559,GBP,0.6636,22,4,2015
560,USD,1.0,23,4,2015
561,CAD,1.2226,23,4,2015
562,AUD,1.2938,23,4,2015
563,EUR,0.9283,23,4,2015
564,GBP,0.6656,23,4,2015
565,USD,1.0,24,4,2015
566,CAD,1.2119,24,4,2015
567,AUD,1.2827,24,4,2015
568,EUR,0.9239,24,4,2015
569,GBP,0.6614,24,4,2015
570,USD,1.0,25,4,2015
571,CAD,1.2119,25,4,2015
572,AUD,1.2827,25,4,2015
573,EUR,0.9239,25,4,2015
574,GBP,0.6614,25,4,2015
575,USD,1.0,26,4,2015
576,CAD,1.2119,26,4,2015
577,AUD,1.2827,26,4,2015
578,EUR,0.9239,26,4,2015
579,GBP,0.6614,26,4,2015
580,USD,1.0,27,4,2015
581,CAD,1.2156,27,4,2015
582,AUD,1.2814,27,4,2015
583,EUR,0.924,27,4,2015
584,GBP,0.6618,27,4,2015
585,USD,1.0,28,4,2015
586,CAD,1.2069,28,4,2015
587,AUD,1.2585,28,4,2015
588,EUR,0.9152,28,4,2015
589,GBP,0.6543,28,4,2015
590,USD,1.0,29,4,2015
591,CAD,1.2054,29,4,2015
592,AUD,1.2509,29,4,2015
593,EUR,0.9089,29,4,2015
594,GBP,0.6509,29,4,2015
595,USD,1.0,30,4,2015
596,CAD,1.202,30,4,2015
597,AUD,1.2627,30,4,2015
598,EUR,0.8917,30,4,2015
599,GBP,0.648,30,4,2015
600,USD,1.0,1,5,2015
601,CAD,1.202,1,5,2015
602,AUD,1.2627,1,5,2015
603,EUR,0.8917,1,5,2015
604,GBP,0.648,1,5,2015
605,USD,1.0,2,5,2015
606,CAD,1.202,2,5,2015
607,AUD,1.2627,2,5,2015
608,EUR,0.8917,2,5,2015
609,GBP,0.648,2,5,2015
610,USD,1.0,3,5,2015
611,CAD,1.202,3,5,2015
612,AUD,1.2627,3,5,2015
613,EUR,0.8917,3,5,2015
614,GBP,0.648,3,5,2015
615,USD,1.0,4,5,2015
616,CAD,1.2116,4,5,2015
617,AUD,1.2756,4,5,2015
618,EUR,0.8967,4,5,2015
619,GBP,0.6617,4,5,2015
620,USD,1.0,5,5,2015
621,CAD,1.209,5,5,2015
622,AUD,1.27,5,5,2015
623,EUR,0.8995,5,5,2015
624,GBP,0.6611,5,5,2015
625,USD,1.0,6,5,2015
626,CAD,1.201,6,5,2015
627,AUD,1.2493,6,5,2015
628,EUR,0.8905,6,5,2015
629,GBP,0.6568,6,5,2015
630,USD,1.0,7,5,2015
631,CAD,1.207,7,5,2015
632,AUD,1.2548,7,5,2015
633,EUR,0.8846,7,5,2015
634,GBP,0.6568,7,5,2015
635,USD,1.0,8,5,2015
636,CAD,1.2103,8,5,2015
637,AUD,1.2638,8,5,2015
638,EUR,0.8912,8,5,2015
639,GBP,0.6488,8,5,2015
640,USD,1.0,9,5,2015
641,CAD,1.2103,9,5,2015
642,AUD,1.2638,9,5,2015
643,EUR,0.8912,9,5,2015
644,GBP,0.6488,9,5,2015
645,USD,1.0,10,5,2015
646,CAD,1.2103,10,5,2015
647,AUD,1.2638,10,5,2015
648,EUR,0.8912,10,5,2015
649,GBP,0.6488,10,5,2015
650,USD,1.0,11,5,2015
651,CAD,1.2114,11,5,2015
652,AUD,1.267,11,5,2015
653,EUR,0.8975,11,5,2015
654,GBP,0.6458,11,5,2015
655,USD,1.0,12,5,2015
656,CAD,1.204,12,5,2015
657,AUD,1.2519,12,5,2015
658,EUR,0.8898,12,5,2015
659,GBP,0.6374,12,5,2015
660,USD,1.0,13,5,2015
661,CAD,1.1974,13,5,2015
662,AUD,1.2428,13,5,2015
663,EUR,0.8912,13,5,2015
664,GBP,0.6393,13,5,2015
665,USD,1.0,14,5,2015
666,CAD,1.1949,14,5,2015
667,AUD,1.2336,14,5,2015
668,EUR,0.8757,14,5,2015
669,GBP,0.6332,14,5,2015
670,USD,1.0,15,5,2015
671,CAD,1.2037,15,5,2015
672,AUD,1.2499,15,5,2015
673,EUR,0.8828,15,5,2015
674,GBP,0.6366,15,5,2015
675,USD,1.0,16,5,2015
676,CAD,1.2037,16,5,2015
677,AUD,1.2499,16,5,2015
678,EUR,0.8828,16,5,2015
679,GBP,0.6366,16,5,2015
680,USD,1.0,17,5,2015
681,CAD,1.2037,17,5,2015
682,AUD,1.2499,17,5,2015
683,EUR,0.8828,17,5,2015
684,GBP,0.6366,17,5,2015
685,USD,1.0,18,5,2015
686,CAD,1.2058,18,5,2015
687,AUD,1.2493,18,5,2015
688,EUR,0.878,18,5,2015
689,GBP,0.6383,18,5,2015
690,USD,1.0,19,5,2015
691,CAD,1.2181,19,5,2015
692,AUD,1.2547,19,5,2015
693,EUR,0.8945,19,5,2015
694,GBP,0.6457,19,5,2015
695,USD,1.0,20,5,2015
696,CAD,1.2213,20,5,2015
697,AUD,1.2655,20,5,2015
698,EUR,0.8994,20,5,2015
699,GBP,0.6437,20,5,2015
700,USD,1.0,21,5,2015
701,CAD,1.2216,21,5,2015
702,AUD,1.2676,21,5,2015
703,EUR,0.8982,21,5,2015
704,GBP,0.6377,21,5,2015
705,USD,1.0,22,5,2015
706,CAD,1.22,22,5,2015
707,AUD,1.2686,22,5,2015
708,EUR,0.8957,22,5,2015
709,GBP,0.6394,22,5,2015
710,USD,1.0,23,5,2015
711,CAD,1.22,23,5,2015
712,AUD,1.2686,23,5,2015
713,EUR,0.8957,23,5,2015
714,GBP,0.6394,23,5,2015
715,USD,1.0,24,5,2015
716,CAD,1.22,24,5,2015
717,AUD,1.2686,24,5,2015
718,EUR,0.8957,24,5,2015
719,GBP,0.6394,24,5,2015
720,USD,1.0,25,5,2015
721,CAD,1.2294,25,5,2015
722,AUD,1.2774,25,5,2015
723,EUR,0.9109,25,5,2015
724,GBP,0.6467,25,5,2015
725,USD,1.0,26,5,2015
726,CAD,1.2374,26,5,2015
727,AUD,1.2832,26,5,2015
728,EUR,0.9152,26,5,2015
729,GBP,0.6495,26,5,2015
730,USD,1.0,27,5,2015
731,CAD,1.2456,27,5,2015
732,AUD,1.297,27,5,2015
733,EUR,0.9206,27,5,2015
734,GBP,0.6508,27,5,2015
735,USD,1.0,28,5,2015
736,CAD,1.2476,28,5,2015
737,AUD,1.3094,28,5,2015
738,EUR,0.9178,28,5,2015
739,GBP,0.6538,28,5,2015
740,USD,1.0,29,5,2015
741,CAD,1.2443,29,5,2015
742,AUD,1.307,29,5,2015
743,EUR,0.9116,29,5,2015
744,GBP,0.6554,29,5,2015
745,USD,1.0,30,5,2015
746,CAD,1.2443,30,5,2015
747,AUD,1.307,30,5,2015
748,EUR,0.9116,30,5,2015
749,GBP,0.6554,30,5,2015
750,USD,1.0,31,5,2015
751,CAD,1.2443,31,5,2015
752,AUD,1.307,31,5,2015
753,EUR,0.9116,31,5,2015
754,GBP,0.6554,31,5,2015
755,USD,1.0,1,6,2015
756,CAD,1.2494,1,6,2015
757,AUD,1.3104,1,6,2015
758,EUR,0.9137,1,6,2015
759,GBP,0.6572,1,6,2015
760,USD,1.0,2,6,2015
761,CAD,1.2498,2,6,2015
762,AUD,1.3004,2,6,2015
763,EUR,0.9067,2,6,2015
764,GBP,0.6567,2,6,2015
765,USD,1.0,3,6,2015
766,CAD,1.2445,3,6,2015
767,AUD,1.2862,3,6,2015
768,EUR,0.8981,3,6,2015
769,GBP,0.6534,3,6,2015
770,USD,1.0,4,6,2015
771,CAD,1.2449,4,6,2015
772,AUD,1.2917,4,6,2015
773,EUR,0.8836,4,6,2015
774,GBP,0.6498,4,6,2015
775,USD,1.0,5,6,2015
776,CAD,1.25,5,6,2015
777,AUD,1.2956,5,6,2015
778,EUR,0.8914,5,6,2015
779,GBP,0.6523,5,6,2015
780,USD,1.0,6,6,2015
781,CAD,1.25,6,6,2015
782,AUD,1.2956,6,6,2015
783,EUR,0.8914,6,6,2015
784,GBP,0.6523,6,6,2015
785,USD,1.0,7,6,2015
786,CAD,1.25,7,6,2015
787,AUD,1.2956,7,6,2015
788,EUR,0.8914,7,6,2015
789,GBP,0.6523,7,6,2015
790,USD,1.0,8,6,2015
791,CAD,1.2434,8,6,2015
792,AUD,1.3094,8,6,2015
793,EUR,0.8959,8,6,2015
794,GBP,0.6556,8,6,2015
795,USD,1.0,9,6,2015
796,CAD,1.2347,9,6,2015
