,Order Number,Line Item,CustomerKey,StoreKey,ProductKey,Quantity,Currency,Order day,Order month,Order year
128,128,370007,1,623659,15,267,1,EUR,5,1,2016
129,129,370007,2,623659,15,126,7,EUR,5,1,2016
130,130,370008,1,183264,4,2105,1,AUD,5,1,2016
131,131,370010,1,1393738,48,1709,3,USD,5,1,2016
132,132,370010,2,1393738,48,2113,10,USD,5,1,2016
133,133,370010,3,1393738,48,2088,2,USD,5,1,2016
134,134,370011,1,1522590,47,32,2,USD,5,1,2016
135,135,370012,1,1780669,53,1585,3,USD,5,1,2016
136,136,370012,2,1780669,53,1689,2,USD,5,1,2016
137,137,370013,1,5097,6,5,2,AUD,5,1,2016
138,138,370014,1,1475886,51,1622,2,USD,5,1,2016
139,139,370014,2,1475886,51,2110,1,USD,5,1,2016
140,140,370014,3,1475886,51,1694,2,USD,5,1,2016
141,141,371000,1,728834,30,81,2,EUR,6,1,2016
142,142,371001,1,76021,2,77,3,AUD,6,1,2016
143,143,371001,2,76021,2,945,2,AUD,6,1,2016
144,144,371001,3,76021,2,1033,1,AUD,6,1,2016
145,145,371001,4,76021,2,1581,5,AUD,6,1,2016
146,146,371002,1,1955971,53,80,4,USD,6,1,2016
147,147,371002,2,1955971,53,2171,3,USD,6,1,2016
148,148,371003,1,778259,28,1074,6,EUR,6,1,2016
149,149,371003,2,778259,28,127,2,EUR,6,1,2016
150,150,371003,3,778259,28,333,5,EUR,6,1,2016
151,151,371003,4,778259,28,1627,4,EUR,6,1,2016
152,152,371003,5,778259,28,64,1,EUR,6,1,2016
153,153,371003,6,778259,28,1997,3,EUR,6,1,2016
154,154,371004,1,1378439,0,1305,8,USD,6,1,2016
155,155,371005,1,1923558,48,58,1,USD,6,1,2016
156,156,371005,2,1923558,48,32,7,USD,6,1,2016
157,157,371006,1,1501383,0,1279,1,USD,6,1,2016
158,158,371007,1,1378439,0,1639,1,USD,6,1,2016
159,159,371008,1,2053617,50,961,1,USD,6,1,2016
160,160,371008,2,2053617,50,1626,7,USD,6,1,2016
161,161,371010,1,1716584,53,2491,5,USD,6,1,2016
162,162,371010,2,1716584,53,1631,7,USD,6,1,2016
163,163,371011,1,776266,0,458,5,EUR,6,1,2016
164,164,371011,2,776266,0,1573,3,EUR,6,1,2016
165,165,371011,3,776266,0,32,5,EUR,6,1,2016
166,166,371012,1,363872,8,147,1,CAD,6,1,2016
167,167,371012,2,363872,8,1576,1,CAD,6,1,2016
168,168,371012,3,363872,8,1642,3,CAD,6,1,2016
169,169,371014,1,1161615,40,89,4,GBP,6,1,2016
170,170,371014,2,1161615,40,337,3,GBP,6,1,2016
171,171,371015,1,1669745,0,1679,5,USD,6,1,2016
172,172,371015,2,1669745,0,1659,1,USD,6,1,2016
173,173,371015,3,1669745,0,1228,1,USD,6,1,2016
174,174,371015,4,1669745,0,1458,4,USD,6,1,2016
175,175,371016,1,879778,32,1704,2,EUR,6,1,2016
176,176,371017,1,1918687,61,2084,5,USD,6,1,2016
177,177,371017,2,1918687,61,2365,1,USD,6,1,2016
178,178,371018,1,1041466,36,534,1,GBP,6,1,2016
179,179,371018,2,1041466,36,1667,7,GBP,6,1,2016
180,180,371018,3,1041466,36,1212,7,GBP,6,1,2016
181,181,371018,4,1041466,36,2496,1,GBP,6,1,2016
182,182,371018,5,1041466,36,1200,2,GBP,6,1,2016
183,183,371018,6,1041466,36,1333,2,GBP,6,1,2016
184,184,371018,7,1041466,36,2124,1,GBP,6,1,2016
185,185,371019,1,916074,41,2506,2,GBP,6,1,2016
186,186,371019,2,916074,41,1590,1,GBP,6,1,2016
187,187,371019,3,916074,41,1615,2,GBP,6,1,2016
188,188,371019,4,916074,41,2093,2,GBP,6,1,2016
189,189,372000,1,1413890,0,148,3,USD,7,1,2016
190,190,372000,2,1413890,0,1620,1,USD,7,1,2016
191,191,372000,3,1413890,0,825,3,USD,7,1,2016
192,192,372001,1,1412534,63,1286,1,USD,7,1,2016
193,193,372001,2,1412534,63,1669,3,USD,7,1,2016
194,194,372002,1,1718240,47,1299,7,USD,7,1,2016
195,195,372003,1,527409,19,1604,3,EUR,7,1,2016
196,196,372003,2,527409,19,141,4,EUR,7,1,2016
197,197,372003,3,527409,19,83,2,EUR,7,1,2016
198,198,372004,1,711449,30,922,9,EUR,7,1,2016
199,199,372005,1,302130,9,411,3,CAD,7,1,2016
200,200,372005,2,302130,9,75,4,CAD,7,1,2016
201,201,372005,3,302130,9,1620,3,CAD,7,1,2016
202,202,372005,4,302130,9,2366,5,CAD,7,1,2016
203,203,372005,5,302130,9,1652,8,CAD,7,1,2016
204,204,372005,6,302130,9,1614,8,CAD,7,1,2016
205,205,372006,1,2095742,0,125,2,USD,7,1,2016
206,206,372007,1,1982994,61,1148,4,USD,7,1,2016
207,207,372008,1,1214363,53,183,1,USD,7,1,2016
208,208,372008,3,1214363,53,1665,1,USD,7,1,2016
209,209,372010,1,784075,29,90,7,EUR,7,1,2016
210,210,372011,1,739625,29,1572,1,EUR,7,1,2016
211,211,372012,1,195521,6,468,1,AUD,7,1,2016
212,212,372012,2,195521,6,1560,6,AUD,7,1,2016
213,213,372012,3,195521,6,1094,2,AUD,7,1,2016
214,214,372012,4,195521,6,171,4,AUD,7,1,2016
215,215,372012,5,195521,6,2265,2,AUD,7,1,2016
216,216,372013,1,1042966,38,1259,2,GBP,7,1,2016
217,217,372016,1,1170323,42,1581,2,GBP,7,1,2016
218,218,372016,2,1170323,42,6,3,GBP,7,1,2016
219,219,373000,1,1367439,0,2509,3,USD,8,1,2016
220,220,373000,2,1367439,0,716,3,USD,8,1,2016
221,221,373002,1,1750554,48,1859,5,USD,8,1,2016
222,222,373003,1,2082534,56,67,3,USD,8,1,2016
223,223,373004,1,460587,24,1765,3,EUR,8,1,2016
224,224,373005,1,1763365,65,342,2,USD,8,1,2016
225,225,373005,2,1763365,65,1073,1,USD,8,1,2016
226,226,373007,1,351747,0,103,2,CAD,8,1,2016
227,227,373007,2,351747,0,1455,5,CAD,8,1,2016
228,228,373007,3,351747,0,1902,2,CAD,8,1,2016
229,229,373008,1,536845,23,535,3,EUR,8,1,2016
230,230,373008,2,536845,23,2089,3,EUR,8,1,2016
231,231,373008,3,536845,23,1612,3,EUR,8,1,2016
232,232,373008,4,536845,23,65,2,EUR,8,1,2016
233,233,373009,1,1064519,0,1589,4,GBP,8,1,2016
234,234,373010,1,538801,27,2492,6,EUR,8,1,2016
235,235,373010,2,538801,27,2288,8,EUR,8,1,2016
236,236,373010,3,538801,27,56,2,EUR,8,1,2016
237,237,373011,1,82415,4,440,2,AUD,8,1,2016
238,238,374000,1,1971983,48,737,5,USD,9,1,2016
239,239,374000,2,1971983,48,1735,3,USD,9,1,2016
240,240,374000,3,1971983,48,103,3,USD,9,1,2016
241,241,374000,5,1971983,48,81,2,USD,9,1,2016
242,242,374000,6,1971983,48,1624,1,USD,9,1,2016
243,243,374001,1,2050933,47,1429,1,USD,9,1,2016
244,244,374001,2,2050933,47,545,1,USD,9,1,2016
245,245,374002,1,320030,8,1991,8,CAD,9,1,2016
246,246,374002,2,320030,8,1667,8,CAD,9,1,2016
247,247,374002,3,320030,8,2098,3,CAD,9,1,2016
248,248,374002,4,320030,8,1695,1,CAD,9,1,2016
249,249,374003,1,1188400,38,1606,1,GBP,9,1,2016
250,250,374005,1,239647,8,1197,2,CAD,9,1,2016
251,251,374006,1,1387959,65,1622,6,USD,9,1,2016
252,252,374007,1,800548,31,1631,3,EUR,9,1,2016
253,253,374008,1,789641,29,1217,4,EUR,9,1,2016
254,254,374009,1,728541,30,538,3,EUR,9,1,2016
255,255,374010,1,665776,12,1632,3,EUR,9,1,2016
256,256,374010,2,665776,12,1048,1,EUR,9,1,2016
257,257,374010,3,665776,12,1681,7,EUR,9,1,2016
258,258,374010,4,665776,12,2104,4,EUR,9,1,2016
259,259,374010,5,665776,12,1673,2,EUR,9,1,2016
260,260,374010,6,665776,12,1206,2,EUR,9,1,2016
261,261,374010,7,665776,12,961,5,EUR,9,1,2016
262,262,374011,1,174622,5,1256,8,AUD,9,1,2016
263,263,374012,1,1758208,0,1280,1,USD,9,1,2016
264,264,374012,2,1758208,0,1276,1,USD,9,1,2016
265,265,374012,3,1758208,0,2454,5,USD,9,1,2016
266,266,374012,4,1758208,0,2108,1,USD,9,1,2016
267,267,374013,1,733080,29,533,5,EUR,9,1,2016
268,268,374013,2,733080,29,1067,10,EUR,9,1,2016
269,269,374013,3,733080,29,1577,6,EUR,9,1,2016
270,270,374015,1,1451748,55,107,7,USD,9,1,2016
271,271,374016,1,1535357,45,9,5,USD,9,1,2016
272,272,374017,1,1558964,63,1630,1,USD,9,1,2016
273,273,374018,1,1010049,38,1615,5,GBP,9,1,2016
274,274,374018,2,1010049,38,2075,2,GBP,9,1,2016
275,275,374019,1,193216,6,1109,3,AUD,9,1,2016
276,276,375000,1,1084570,0,1636,1,GBP,10,1,2016
277,277,375000,2,1084570,0,88,7,GBP,10,1,2016
278,278,375000,3,1084570,0,2515,1,GBP,10,1,2016
279,279,376000,1,1862500,43,69,1,USD,11,1,2016
280,280,376001,1,813685,32,131,1,EUR,11,1,2016
281,281,376001,2,813685,32,1604,1,EUR,11,1,2016
282,282,376003,1,797322,30,425,3,EUR,11,1,2016
283,283,376003,2,797322,30,2112,4,EUR,11,1,2016
284,284,376003,3,797322,30,1297,1,EUR,11,1,2016
285,285,376003,4,797322,30,1806,2,EUR,11,1,2016
286,286,376004,1,1905050,45,1635,6,USD,11,1,2016
287,287,376005,1,305321,8,1352,3,CAD,11,1,2016
288,288,376005,2,305321,8,2114,3,CAD,11,1,2016
289,289,376005,3,305321,8,418,2,CAD,11,1,2016
290,290,376005,4,305321,8,2096,3,CAD,11,1,2016
291,291,377000,1,1589958,64,1625,6,USD,12,1,2016
292,292,377000,2,1589958,64,1730,4,USD,12,1,2016
293,293,377000,3,1589958,64,681,2,USD,12,1,2016
294,294,377000,4,1589958,64,1675,7,USD,12,1,2016
295,295,377000,5,1589958,64,422,2,USD,12,1,2016
296,296,377002,1,1897822,50,1612,1,USD,12,1,2016
297,297,377002,2,1897822,50,858,1,USD,12,1,2016
298,298,377002,3,1897822,50,1595,2,USD,12,1,2016
299,299,377003,1,1129200,40,1942,6,GBP,12,1,2016
300,300,377004,1,1136143,42,460,4,GBP,12,1,2016
301,301,377004,2,1136143,42,740,3,GBP,12,1,2016
302,302,377005,1,1022980,37,1634,1,GBP,12,1,2016
303,303,377006,1,934781,0,1432,1,GBP,12,1,2016
304,304,377006,2,934781,0,1580,1,GBP,12,1,2016
305,305,377006,3,934781,0,1462,1,GBP,12,1,2016
306,306,377006,4,934781,0,1936,1,GBP,12,1,2016
307,307,377006,5,934781,0,1007,1,GBP,12,1,2016
308,308,377006,6,934781,0,320,1,GBP,12,1,2016
309,309,377007,1,86126,6,1665,1,AUD,12,1,2016
310,310,377007,2,86126,6,446,3,AUD,12,1,2016
311,311,377007,3,86126,6,1176,4,AUD,12,1,2016
312,312,378000,1,1062632,37,170,1,GBP,13,1,2016
313,313,378000,2,1062632,37,1646,10,GBP,13,1,2016
314,314,378000,3,1062632,37,1572,1,GBP,13,1,2016
315,315,378001,1,1976355,66,2467,3,USD,13,1,2016
316,316,378001,2,1976355,66,1696,2,USD,13,1,2016
317,317,378002,1,1599716,45,1578,1,USD,13,1,2016
318,318,378002,2,1599716,45,1304,1,USD,13,1,2016
319,319,378003,1,774742,29,1609,1,EUR,13,1,2016
320,320,378003,2,774742,29,2128,8,EUR,13,1,2016
321,321,378003,3,774742,29,1649,5,EUR,13,1,2016
322,322,378004,1,368190,8,2504,1,CAD,13,1,2016
323,323,378004,2,368190,8,1646,7,CAD,13,1,2016
324,324,378005,1,1470803,44,137,9,USD,13,1,2016
325,325,378005,2,1470803,44,2090,2,USD,13,1,2016
326,326,378005,3,1470803,44,2068,2,USD,13,1,2016
327,327,378005,4,1470803,44,125,4,USD,13,1,2016
328,328,378005,5,1470803,44,137,3,USD,13,1,2016
329,329,378005,6,1470803,44,376,1,USD,13,1,2016
330,330,378005,7,1470803,44,178,5,USD,13,1,2016
331,331,378006,1,917347,38,1266,7,GBP,13,1,2016
332,332,378006,2,917347,38,1621,2,GBP,13,1,2016
333,333,378007,1,707089,30,1582,1,EUR,13,1,2016
334,334,378007,2,707089,30,1634,6,EUR,13,1,2016
335,335,378007,3,707089,30,424,4,EUR,13,1,2016
336,336,378008,1,1035789,39,1619,2,GBP,13,1,2016
337,337,378009,1,270736,8,336,3,CAD,13,1,2016
338,338,378009,2,270736,8,2383,1,CAD,13,1,2016
339,339,378009,3,270736,8,2248,5,CAD,13,1,2016
340,340,378010,1,437389,19,145,3,EUR,13,1,2016
341,341,378010,2,437389,19,2387,7,EUR,13,1,2016
342,342,379000,1,1171088,39,443,4,GBP,14,1,2016
343,343,379001,1,1165542,40,1253,1,GBP,14,1,2016
344,344,379001,2,1165542,40,1695,8,GBP,14,1,2016
345,345,379001,3,1165542,40,1038,8,GBP,14,1,2016
346,346,379001,4,1165542,40,1597,1,GBP,14,1,2016
347,347,379001,5,1165542,40,1589,2,GBP,14,1,2016
348,348,379001,6,1165542,40,1182,5,GBP,14,1,2016
349,349,379002,1,716015,0,106,2,EUR,14,1,2016
350,350,379002,2,716015,0,386,2,EUR,14,1,2016
351,351,379002,3,716015,0,1654,3,EUR,14,1,2016
352,352,379004,1,245912,0,321,2,CAD,14,1,2016
353,353,379005,1,1104029,37,1766,4,GBP,14,1,2016
354,354,379005,2,1104029,37,1558,3,GBP,14,1,2016
355,355,379005,3,1104029,37,1969,3,GBP,14,1,2016
356,356,379005,4,1104029,37,1453,4,GBP,14,1,2016
357,357,379008,1,793968,30,76,3,EUR,14,1,2016
358,358,379008,2,793968,30,1648,1,EUR,14,1,2016
359,359,379009,1,1556602,61,375,4,USD,14,1,2016
360,360,379009,2,1556602,61,651,3,USD,14,1,2016
361,361,379011,1,1291414,48,1280,3,USD,14,1,2016
362,362,379011,2,1291414,48,1292,1,USD,14,1,2016
363,363,379011,3,1291414,48,1620,4,USD,14,1,2016
364,364,380000,1,1614172,57,1676,3,USD,15,1,2016
365,365,380000,2,1614172,57,2094,5,USD,15,1,2016
366,366,380001,1,1530756,66,641,3,USD,15,1,2016
367,367,380001,2,1530756,66,1069,3,USD,15,1,2016
368,368,380001,3,1530756,66,1687,3,USD,15,1,2016
369,369,380003,1,627789,17,172,3,EUR,15,1,2016
370,370,380004,1,1909649,66,1114,1,USD,15,1,2016
371,371,380004,2,1909649,66,272,1,USD,15,1,2016
372,372,380004,3,1909649,66,1697,2,USD,15,1,2016
373,373,380005,1,770856,30,1705,2,EUR,15,1,2016
374,374,380005,2,770856,30,154,7,EUR,15,1,2016
375,375,380006,1,549983,27,1969,7,EUR,15,1,2016
376,376,381001,1,780974,29,2397,3,EUR,16,1,2016
377,377,381001,2,780974,29,2398,1,EUR,16,1,2016
378,378,381002,1,2042097,0,1283,1,USD,16,1,2016
379,379,381002,2,2042097,0,1345,1,USD,16,1,2016
380,380,381002,3,2042097,0,2510,2,USD,16,1,2016
381,381,381003,1,1631876,61,1619,6,USD,16,1,2016
382,382,381003,2,1631876,61,2079,1,USD,16,1,2016
383,383,381004,1,1914255,53,960,2,USD,16,1,2016
384,384,381004,2,1914255,53,143,4,USD,16,1,2016
385,385,381005,1,1803346,50,1946,10,USD,16,1,2016
386,386,381006,1,1364334,64,1029,1,USD,16,1,2016
387,387,381007,1,1202659,48,1246,1,USD,16,1,2016
388,388,381007,2,1202659,48,97,2,USD,16,1,2016
389,389,381007,3,1202659,48,1590,6,USD,16,1,2016
390,390,381007,4,1202659,48,1779,7,USD,16,1,2016
391,391,381008,1,982850,42,1707,2,GBP,16,1,2016
392,392,381009,1,1187611,42,2086,4,GBP,16,1,2016
393,393,381010,1,1554137,66,1671,3,USD,16,1,2016
394,394,381010,2,1554137,66,1604,1,USD,16,1,2016
395,395,381010,3,1554137,66,1836,1,USD,16,1,2016
396,396,381011,1,1302333,45,450,1,USD,16,1,2016
397,397,381012,1,2072376,0,1759,2,USD,16,1,2016
398,398,381012,2,2072376,0,1684,7,USD,16,1,2016
399,399,381013,1,1984685,0,1583,1,USD,16,1,2016
400,400,381013,2,1984685,0,584,8,USD,16,1,2016
401,401,383000,1,1768548,51,1623,3,USD,18,1,2016
402,402,383001,1,1584109,61,994,1,USD,18,1,2016
403,403,383002,1,1650783,57,1145,1,USD,18,1,2016
404,404,383002,2,1650783,57,75,2,USD,18,1,2016
405,405,383002,3,1650783,57,775,1,USD,18,1,2016
406,406,383003,1,568160,19,959,3,EUR,18,1,2016
407,407,383004,1,1670107,59,1248,3,USD,18,1,2016
408,408,383004,2,1670107,59,2500,1,USD,18,1,2016
409,409,383004,3,1670107,59,185,3,USD,18,1,2016
410,410,384000,1,622740,17,144,5,EUR,19,1,2016
411,411,384000,2,622740,17,78,4,EUR,19,1,2016
412,412,384000,4,622740,17,1825,1,EUR,19,1,2016
413,413,384001,1,780674,29,301,2,EUR,19,1,2016
414,414,384001,2,780674,29,1695,2,EUR,19,1,2016
415,415,384002,1,1263974,43,61,2,USD,19,1,2016
416,416,384002,2,1263974,43,2105,1,USD,19,1,2016
417,417,384003,1,1369624,64,420,4,USD,19,1,2016
418,418,384004,1,1316297,0,1150,2,USD,19,1,2016
419,419,384004,2,1316297,0,1578,6,USD,19,1,2016
420,420,384005,1,1022895,37,1597,4,GBP,19,1,2016
421,421,384006,1,247132,9,752,1,CAD,19,1,2016
422,422,384006,2,247132,9,434,1,CAD,19,1,2016
423,423,384006,3,247132,9,124,8,CAD,19,1,2016
424,424,384006,4,247132,9,2382,1,CAD,19,1,2016
425,425,384007,1,14180,6,494,3,AUD,19,1,2016
426,426,384007,2,14180,6,1633,2,AUD,19,1,2016
427,427,385000,1,1110691,0,1586,8,GBP,20,1,2016
428,428,385000,2,1110691,0,1427,5,GBP,20,1,2016
429,429,385000,3,1110691,0,166,3,GBP,20,1,2016
430,430,385002,1,844832,31,424,2,EUR,20,1,2016
431,431,385002,2,844832,31,53,2,EUR,20,1,2016
432,432,385003,1,624165,18,1928,3,EUR,20,1,2016
433,433,385004,1,332332,8,2162,1,CAD,20,1,2016
434,434,385005,1,1251726,57,2120,3,USD,20,1,2016
435,435,385006,1,724534,28,135,4,EUR,20,1,2016
436,436,385006,2,724534,28,1155,1,EUR,20,1,2016
437,437,385007,1,1273837,61,1112,8,USD,20,1,2016
438,438,385008,1,667318,16,1195,1,EUR,20,1,2016
439,439,385009,1,1720050,61,6,1,USD,20,1,2016
440,440,385009,3,1720050,61,123,5,USD,20,1,2016
441,441,385010,1,483118,20,61,6,EUR,20,1,2016
442,442,385010,2,483118,20,1000,3,EUR,20,1,2016
443,443,386000,1,748749,30,443,2,EUR,21,1,2016
444,444,386000,2,748749,30,434,2,EUR,21,1,2016
445,445,386000,3,748749,30,167,1,EUR,21,1,2016
446,446,386000,4,748749,30,516,1,EUR,21,1,2016
447,447,386001,1,1912666,0,1996,2,USD,21,1,2016
448,448,386001,2,1912666,0,1577,1,USD,21,1,2016
449,449,386002,1,1525000,43,581,3,USD,21,1,2016
450,450,386003,1,265825,8,1646,1,CAD,21,1,2016
451,451,386004,1,2085055,45,1222,3,USD,21,1,2016
452,452,386005,1,345812,0,1600,1,CAD,21,1,2016
453,453,386005,2,345812,0,237,1,CAD,21,1,2016
454,454,386006,1,348548,10,1271,2,CAD,21,1,2016
455,455,386006,2,348548,10,1585,1,CAD,21,1,2016
456,456,386006,3,348548,10,1637,3,CAD,21,1,2016
457,457,386006,4,348548,10,1587,1,CAD,21,1,2016
458,458,386006,5,348548,10,423,1,CAD,21,1,2016
459,459,386008,1,2093929,56,313,2,USD,21,1,2016
460,460,386008,2,2093929,56,124,7,USD,21,1,2016
461,461,386008,3,2093929,56,1634,3,USD,21,1,2016
462,462,386008,4,2093929,56,448,4,USD,21,1,2016
463,463,386009,1,522652,19,1859,4,EUR,21,1,2016
464,464,386009,2,522652,19,156,3,EUR,21,1,2016
465,465,386009,3,522652,19,1896,1,EUR,21,1,2016
